,Local authority code,Local authority name,LSOA code,LSOA name,Year ending Dec 2017,Year ending Mar 2018,Year ending Jun 2018,Year ending Sep 2018,Year ending Dec 2018,Year ending Mar 2019,Year ending Jun 2019,Year ending Sep 2019,Year ending Dec 2019,Year ending Mar 2020
24815,E08000025,Birmingham,E01008881,Birmingham 067A,133500,135000,135000,142750,150000,151000,157500,162250,207500,170000
24816,E08000025,Birmingham,E01008882,Birmingham 066A,131000,134000,120000,139000,139000,150000,154000,152750,157000,156250
24817,E08000025,Birmingham,E01008883,Birmingham 078A,123000,126000,133000,131500,133000,134000,141000,142000,142000,153250
24818,E08000025,Birmingham,E01008884,Birmingham 078B,119750,120750,120750,123500,126500,126500,129000,135000,138000,135000
24819,E08000025,Birmingham,E01008885,Birmingham 076A,169975,181000,194995,195000,192000,187500,184250,177000,178000,178000
24820,E08000025,Birmingham,E01008886,Birmingham 076B,141250,148000,148750,146250,148000,149000,150000,155000,152000,154000
24821,E08000025,Birmingham,E01008887,Birmingham 078C,122500,125000,117000,151500,150000,144000,144000,142000,145975,150000
24822,E08000025,Birmingham,E01008888,Birmingham 076C,180000,185000,185500,188750,193000,193000,193000,197500,207000,210000
24823,E08000025,Birmingham,E01008889,Birmingham 078D,136000,171325,122000,140000,148500,148500,148500,142000,142000,164000
24824,E08000025,Birmingham,E01008890,Birmingham 089A,150000,145500,148500,149629,148500,151000,157500,153500,162000,162000
24825,E08000025,Birmingham,E01008891,Birmingham 089B,153000,159950,162946.5,170000,189950,186975,206000,208000,221000,223500
24826,E08000025,Birmingham,E01008892,Birmingham 089C,190000,195000,195000,190000,190000,187500,125000,150000,154000,150000
24827,E08000025,Birmingham,E01008893,Birmingham 089D,175000,175000,177000,180000,187000,193500,199950,188500,186000,168750
24828,E08000025,Birmingham,E01008894,Birmingham 089E,188750,136250,146250,168250,184000,197000,197000,205000,205500,205000
24829,E08000025,Birmingham,E01008895,Birmingham 089F,160000,160000,171000,168500,166000,177550,170500,176750,169000,168000
24830,E08000025,Birmingham,E01008896,Birmingham 066B,132250,134500,135250,146000,146500,143750,145500,147500,150000,151500
24831,E08000025,Birmingham,E01008897,Birmingham 067B,144000,145000,149500,165000,174975,167000,167475,167000,166000,165000
24832,E08000025,Birmingham,E01008898,Birmingham 066C,135000,111500,115000,122500,113500,130000,108500,125000,150000,137500
24833,E08000025,Birmingham,E01008899,Birmingham 037A,91750,91750,91750,88000,103000,106500,102500,105000,106500,:
24834,E08000025,Birmingham,E01008901,Birmingham 037C,121000,124500,121000,:,:,63000,66000,116250,144400,148800
24835,E08000025,Birmingham,E01008905,Birmingham 040A,86375,87750,97000,99000,:,:,:,:,:,130000
24836,E08000025,Birmingham,E01008906,Birmingham 049A,105000,:,92000,100000,100000,112950,106475,123975,106475,:
24837,E08000025,Birmingham,E01008907,Birmingham 040B,:,:,:,:,:,:,:,143500,147000,160000
24838,E08000025,Birmingham,E01008909,Birmingham 041D,111000,118000,118000,118000,:,:,:,111000,120000,:
24839,E08000025,Birmingham,E01008910,Birmingham 050A,99000,:,102000,85000,85000,100000,83500,60000,90000,:
24840,E08000025,Birmingham,E01008911,Birmingham 049B,:,:,:,:,:,:,125000,125000,:,:
24841,E08000025,Birmingham,E01008913,Birmingham 050B,:,:,:,133000,:,131500,130000,97500,97500,120000
24842,E08000025,Birmingham,E01008914,Birmingham 050C,152500,153500,153650,147000,161000,177500,177500,180000,158000,175250
24843,E08000025,Birmingham,E01008915,Birmingham 030A,112000,115000,111000,110000,119000,110000,110000,110000,110000,145000
24844,E08000025,Birmingham,E01008916,Birmingham 037E,93500,93000,92000,91500,91500,:,:,110000,110000,110000
24845,E08000025,Birmingham,E01008917,Birmingham 102A,185000,185000,185000,152000,158500,165000,173500,248000,228750,200000
24846,E08000025,Birmingham,E01008918,Birmingham 094A,124000,125000,124000,123000,122500,123750,125000,130000,141000,143000
24847,E08000025,Birmingham,E01008919,Birmingham 095A,135000,136250,137500,139950,140000,140000,143000,185625,185625,170000
24848,E08000025,Birmingham,E01008920,Birmingham 094B,140000,139750,143500,150250,154250,166250,166250,165000,165000,152500
24849,E08000025,Birmingham,E01008921,Birmingham 094C,140000,140000,185000,185000,172500,120000,120000,144000,158000,182000
24850,E08000025,Birmingham,E01008923,Birmingham 102B,127597.5,142500,140000,133750,132000,132000,145000,145000,145000,137000
24851,E08000025,Birmingham,E01008924,Birmingham 101A,152000,155000,154500,180000,182500,212500,237500,225000,225000,247000
24852,E08000025,Birmingham,E01008925,Birmingham 102C,150000,150000,154925,152500,154950,160000,160000,167250,167250,167250
24853,E08000025,Birmingham,E01008927,Birmingham 102D,107000,82007,82003.5,113250,129000,131500,129000,129000,127000,134000
24854,E08000025,Birmingham,E01008928,Birmingham 102E,142500,126000,125500,125000,108000,:,:,135000,132500,135000
24855,E08000025,Birmingham,E01008929,Birmingham 106C,120000,115000,125500,131500,133000,133000,151250,151250,147500,147500
24856,E08000025,Birmingham,E01008930,Birmingham 106D,125000,128750,142000,137495,137247.5,133750,114000,126000,135000,139000
24857,E08000025,Birmingham,E01008931,Birmingham 094D,115000,118500,117000,124000,131500,131500,140500,138000,140000,140000
24858,E08000025,Birmingham,E01008932,Birmingham 111A,152500,140000,150000,152500,154500,155000,163500,163000,160000,161000
24859,E08000025,Birmingham,E01008933,Birmingham 105A,210000,215000,210000,241317,241317,240000,246000,175000,175000,177500
24860,E08000025,Birmingham,E01008934,Birmingham 105B,297500,286475,275340,275340,273670,270000,267950,265000,265000,264975
24861,E08000025,Birmingham,E01008935,Birmingham 111B,127475,136000,139000,145000,132000,150500,218000,253725,215250,180000
24862,E08000025,Birmingham,E01008936,Birmingham 111C,290000,290000,281500,281250,272500,269750,265000,267000,278250,282500
24863,E08000025,Birmingham,E01008937,Birmingham 115A,156000,160000,157500,158750,176500,207000,190500,187500,200000,175000
24864,E08000025,Birmingham,E01008938,Birmingham 111D,145000,148500,147000,155500,159000,160000,160000,160000,160000,168000
24865,E08000025,Birmingham,E01008939,Birmingham 111E,150200,160000,160000,138500,124000,127000,148000,150000,156000,163500
24866,E08000025,Birmingham,E01008940,Birmingham 115B,136250,137500,150625,150625,150625,172000,180500,180500,179000,171000
24867,E08000025,Birmingham,E01008941,Birmingham 115C,148500,149250,154975,158500,158500,163550,173000,171250,172500,170000
24868,E08000025,Birmingham,E01008942,Birmingham 117A,152525,155750,156500,155000,155000,157000,165000,165000,167000,167000
24869,E08000025,Birmingham,E01008943,Birmingham 117B,153500,146000,137000,136000,137500,146000,174000,178000,174000,170750
24870,E08000025,Birmingham,E01008944,Birmingham 115D,145000,152750,163750,167000,170000,164000,170000,170000,167000,173750
24871,E08000025,Birmingham,E01008945,Birmingham 122A,150000,160000,165000,171000,170000,173500,165166.5,158000,170000,170000
24872,E08000025,Birmingham,E01008946,Birmingham 122B,170250,179000,176500,162000,159000,175000,189950,192475,189950,185000
24873,E08000025,Birmingham,E01008947,Birmingham 122C,160000,165000,165000,166750,180000,182500,185000,182500,180000,185000
24874,E08000025,Birmingham,E01008948,Birmingham 122D,181475,177000,180000,183500,183500,188475,190000,191500,200000,210000
24875,E08000025,Birmingham,E01008949,Birmingham 122E,205000,225000,222475,221000,221000,207000,221000,207000,217500,236500
24876,E08000025,Birmingham,E01008950,Birmingham 113A,277500,277500,285000,265000,310000,310000,310000,290000,283500,277000
24877,E08000025,Birmingham,E01008951,Birmingham 112A,338750,393750,375000,363000,363000,348000,313500,348000,348000,380000
24878,E08000025,Birmingham,E01008952,Birmingham 112B,177475,165000,180500,178000,180000,183500,187500,205000,229174.5,232124.5
24879,E08000025,Birmingham,E01008953,Birmingham 107A,155000,155000,155000,146000,175325,178800,186000,180400,182000,165000
24880,E08000025,Birmingham,E01008954,Birmingham 113B,312000,272500,305000,295000,320000,320000,310000,320000,322500,325000
24881,E08000025,Birmingham,E01008955,Birmingham 112C,199400,207500,210500,222500,225000,227475,227475,229950,231000,228000
24882,E08000025,Birmingham,E01008956,Birmingham 112D,310000,316000,316000,292000,288500,300000,296000,350000,351000,368500
24883,E08000025,Birmingham,E01008957,Birmingham 112E,153975,153000,152500,152750,152750,156500,170000,175000,183750,187750
24884,E08000025,Birmingham,E01008958,Birmingham 113C,200000,174000,219000,220000,200000,241500,227500,249000,:,:
24885,E08000025,Birmingham,E01008959,Birmingham 116A,237000,212500,237000,264500,137500,155000,133500,135000,144000,147000
24886,E08000025,Birmingham,E01008960,Birmingham 116B,247875,239000,239000,266157.5,264000,320000,303500,325000,319000,336250
24887,E08000025,Birmingham,E01008961,Birmingham 116C,179600,174500,174750,174750,178250,201500,200000,210000,170000,181500
24888,E08000025,Birmingham,E01008962,Birmingham 116D,150000,139250,140000,146000,146000,165000,157000,126500,132000,133000
24889,E08000025,Birmingham,E01008963,Birmingham 107B,171000,177500,177500,180000,180000,175000,175000,175300,172000,182500
24890,E08000025,Birmingham,E01008964,Birmingham 107C,173512,174000,178975,180975,193500,195000,198000,210000,218000,219500
24891,E08000025,Birmingham,E01008965,Birmingham 107D,200099,203549.5,200099,206850,235000,235000,235000,240000,227000,227000
24892,E08000025,Birmingham,E01008966,Birmingham 107E,150000,152500,157500,157500,160000,177500,179000,185000,193700,199375
24893,E08000025,Birmingham,E01008967,Birmingham 110A,260000,260000,265000,262500,270250,266500,277525,280000,282500,309250
24894,E08000025,Birmingham,E01008968,Birmingham 110B,277500,280000,336500,280000,270000,280000,239000,232500,225000,212500
24895,E08000025,Birmingham,E01008969,Birmingham 117C,223000,237000,240000,229500,233225,239950,239975,240000,240000,240000
24896,E08000025,Birmingham,E01008970,Birmingham 110C,162000,165000,195750,265000,265000,252475,230475,190500,231000,223000
24897,E08000025,Birmingham,E01008971,Birmingham 117D,250000,250000,248000,235000,237475,226000,217000,217000,255750,307500
24898,E08000025,Birmingham,E01008972,Birmingham 118A,147000,155000,170250,182500,162500,161250,158750,136500,166250,172500
24899,E08000025,Birmingham,E01008973,Birmingham 118B,142500,166250,160500,158000,167750,165000,165750,179250,168225,191000
24900,E08000025,Birmingham,E01008974,Birmingham 118C,165375,198000,209000,175000,220000,215000,215000,216000,209000,208000
24901,E08000025,Birmingham,E01008975,Birmingham 118D,216000,227500,217250,199950,177750,182000,190000,190000,207500,199000
24902,E08000025,Birmingham,E01008976,Birmingham 121A,162000,160250,157000,170000,170000,174750,171750,171500,180000,174750
24903,E08000025,Birmingham,E01008977,Birmingham 123A,143000,138550,144950,149500,140000,141500,139500,138250,130500,130500
24904,E08000025,Birmingham,E01008978,Birmingham 121B,136000,148000,:,:,149500,118000,118000,120000,:,:
24905,E08000025,Birmingham,E01008979,Birmingham 121C,126000,135000,133750,130000,131000,133500,135000,140000,140000,140000
24906,E08000025,Birmingham,E01008980,Birmingham 121D,125000,125000,128950,129000,125000,127000,127000,127000,130000,130000
24907,E08000025,Birmingham,E01008981,Birmingham 110D,343000,346000,350000,390000,417500,417500,438500,390000,377500,367500
24908,E08000025,Birmingham,E01008982,Birmingham 079A,187500,195000,195000,185000,177500,177500,193500,172500,210000,210000
24909,E08000025,Birmingham,E01008984,Birmingham 074A,175000,172500,187500,165000,145000,116000,83750,80000,:,102000
24910,E08000025,Birmingham,E01008986,Birmingham 064A,174300,174300,150000,151500,180000,290000,317500,255000,143500,145000
24911,E08000025,Birmingham,E01008987,Birmingham 064B,150000,165100,167525,172475,192500,210000,200000,200000,195000,195000
24912,E08000025,Birmingham,E01008988,Birmingham 064C,174500,159500,174500,160000,165000,188475,169950,199950,211000,210000
24913,E08000025,Birmingham,E01008989,Birmingham 064D,155000,179365,179432.5,179432.5,187450,176925,180000,189950,184975,180000
24914,E08000025,Birmingham,E01008990,Birmingham 064E,269995,254995,207497.5,216497.5,205000,224997.5,254997.5,230000,230000,222000
24915,E08000025,Birmingham,E01008991,Birmingham 064F,395000,400000,400000,395000,406500,415000,610000,615000,405000,470000
24916,E08000025,Birmingham,E01008992,Birmingham 079C,226000,226000,234000,396250,445000,725000,587500,585000,480000,427500
24917,E08000025,Birmingham,E01008994,Birmingham 074B,252500,270000,270000,298500,245000,359108.5,359108.5,368217,370000,314000
24918,E08000025,Birmingham,E01008995,Birmingham 134A,196000,173500,173500,190000,200000,220000,192500,175000,182500,180000
24919,E08000025,Birmingham,E01008996,Birmingham 074C,185000,161000,178500,198000,162000,232475,225000,178500,:,190000
24920,E08000025,Birmingham,E01008997,Birmingham 074D,395000,395000,395000,385000,401000,450000,445950,452500,447975,392975
24921,E08000025,Birmingham,E01008998,Birmingham 031A,147500,145000,145500,152000,150000,152000,163500,162000,167250,166500
24922,E08000025,Birmingham,E01008999,Birmingham 031B,171500,166500,155000,175000,177500,180000,180000,197000,227500,241000
24923,E08000025,Birmingham,E01009000,Birmingham 031C,96000,90000,89000,88000,88250,100000,105000,153875,116500,113000
24924,E08000025,Birmingham,E01009001,Birmingham 018A,155000,151000,180000,215000,206250,205000,204750,195500,195000,195500
24925,E08000025,Birmingham,E01009002,Birmingham 023A,192995,197995,197995,199995,199995,183000,150500,165000,158000,167500
24926,E08000025,Birmingham,E01009003,Birmingham 018B,211000,222500,225000,225000,216725,220000,229975,240000,240000,240000
24927,E08000025,Birmingham,E01009005,Birmingham 025A,145000,162000,179000,179500,160000,165000,163000,162000,177250,136000
24928,E08000025,Birmingham,E01009006,Birmingham 023C,155000,160000,155000,154000,158000,159000,157000,150000,153500,153500
24929,E08000025,Birmingham,E01009007,Birmingham 023D,121000,120000,112750,97000,107000,114000,121250,120500,135950,135950
24930,E08000025,Birmingham,E01009008,Birmingham 028A,185000,180000,185000,187000,200000,215000,230000,239500,230000,225000
24931,E08000025,Birmingham,E01009009,Birmingham 025B,250000,249500,249750,275000,249500,285000,290000,300000,300000,307000
24932,E08000025,Birmingham,E01009011,Birmingham 028B,172750,172750,172000,170750,171000,171000,180000,184500,182250,192000
24933,E08000025,Birmingham,E01009012,Birmingham 028C,165000,182500,177500,174000,180000,176250,180000,181000,180000,180000
24934,E08000025,Birmingham,E01009013,Birmingham 031D,125300,132500,140000,150000,151000,141250,139500,139000,129000,150000
24935,E08000025,Birmingham,E01009014,Birmingham 090A,144000,144000,144000,178000,147500,147500,189000,192000,206495,210995
24936,E08000025,Birmingham,E01009015,Birmingham 089G,139000,142000,140000,141000,145500,155750,165750,197000,204000,155000
24937,E08000025,Birmingham,E01009016,Birmingham 098A,154975,162500,165000,170000,152000,151000,152000,155250,164000,167000
24938,E08000025,Birmingham,E01009017,Birmingham 097A,170000,170000,175000,180000,177500,:,180000,177500,193000,186500
24939,E08000025,Birmingham,E01009018,Birmingham 090B,225000,225000,210000,208000,165975,156000,164750,172500,220000,180000
24940,E08000025,Birmingham,E01009019,Birmingham 103A,148000,143000,142500,135000,140000,150000,150000,156000,154250,152500
24941,E08000025,Birmingham,E01009020,Birmingham 103B,157250,157250,:,155250,140000,158000,155000,154300,164000,154300
24942,E08000025,Birmingham,E01009021,Birmingham 103C,138750.5,138501,138501,138501,143000,143000,146000,150000,154950,155250
24943,E08000025,Birmingham,E01009022,Birmingham 098B,175000,203000,200000,221000,206500,202500,222500,190000,185000,190000
24944,E08000025,Birmingham,E01009023,Birmingham 098C,231000,231000,237000,233500,230000,238500,240000,240000,242000,240000
24945,E08000025,Birmingham,E01009024,Birmingham 103D,135000,135000,135000,127500,168000,167750,157125,164250,157125,171000
24946,E08000025,Birmingham,E01009025,Birmingham 103E,142000,144000,146500,152000,153500,158975,158975,159000,152750,152750
24947,E08000025,Birmingham,E01009026,Birmingham 090C,115000,115000,132500,152796,153000,197495,208995,205495,204995,203995
24948,E08000025,Birmingham,E01009028,Birmingham 090D,134138,139000,138000,145000,150000,150500,148000,147500,147500,145000
24949,E08000025,Birmingham,E01009029,Birmingham 090E,146000,150000,126000,139250,141250,160000,165000,153000,147000,148000
24950,E08000025,Birmingham,E01009030,Birmingham 098D,253000,253000,258550,258550,240000,226000,242000,266000,224500,229000
24951,E08000025,Birmingham,E01009031,Birmingham 105C,217500,216250,182250,220000,240000,140000,275000,264975,291000,291000
24952,E08000025,Birmingham,E01009032,Birmingham 108A,235000,236000,290000,282750,280500,285250,267750,280500,250000,250000
24953,E08000025,Birmingham,E01009033,Birmingham 103F,150000,153500,157250,166000,167250,160000,167500,162500,165000,170500
24954,E08000025,Birmingham,E01009034,Birmingham 108B,269000,277000,273000,273000,258750,290000,270000,270000,277500,275000
24955,E08000025,Birmingham,E01009035,Birmingham 108C,167250,191650,246000,243000,262000,266000,257000,257000,257000,196000
24956,E08000025,Birmingham,E01009036,Birmingham 108D,257500,250000,263000,271000,275000,271750,268500,268000,264000,264000
24957,E08000025,Birmingham,E01009037,Birmingham 105D,240000,250000,240000,250000,241500,250000,250000,261225,281000,253750
24958,E08000025,Birmingham,E01009039,Birmingham 132A,240725,247000,250000,252500,253500,252000,251000,262000,250000,256000
24959,E08000025,Birmingham,E01009040,Birmingham 132B,282500,277500,287500,280000,296000,286000,276500,279000,285000,275000
24960,E08000025,Birmingham,E01009041,Birmingham 132C,215000,216250,242250,246000,246000,246000,246000,236000,236000,245000
24961,E08000025,Birmingham,E01009042,Birmingham 132D,239950,241500,241725,243500,204000,241500,242000,241750,250000,246000
24962,E08000025,Birmingham,E01009043,Birmingham 097B,169250,169250,182500,186000,179500,179500,177000,179500,186750,190000
24963,E08000025,Birmingham,E01009044,Birmingham 097C,141000,154500,154500,162500,162500,164000,177000,162750,170000,166375
24964,E08000025,Birmingham,E01009045,Birmingham 097D,157995,157995,160000,172100,175000,170000,175000,175000,160000,164250
24965,E08000025,Birmingham,E01009046,Birmingham 097E,225500,225000,225000,255500,281500,281500,283000,301500,275000,261750
24966,E08000025,Birmingham,E01009047,Birmingham 040C,120000,:,:,:,:,:,:,125000,:,95000
24967,E08000025,Birmingham,E01009048,Birmingham 040D,270000,270000,285000,285000,245000,:,:,:,:,:
24968,E08000025,Birmingham,E01009049,Birmingham 032A,98500,135000,135000,190000,190000,198500,207000,176000,161000,138500
24969,E08000025,Birmingham,E01009050,Birmingham 035A,95800,97875,99950,103975,106475,125000,120000,120000,126500,100000
24970,E08000025,Birmingham,E01009051,Birmingham 033A,113750,116750,121000,121000,119750,119500,119750,130000,131750.5,140000
24971,E08000025,Birmingham,E01009053,Birmingham 033B,:,:,:,115000,120000,:,107000,118500,115000,117500
24972,E08000025,Birmingham,E01009054,Birmingham 033C,150000,145000,:,150000,147500,150000,144000,144000,145000,144000
24973,E08000025,Birmingham,E01009056,Birmingham 032B,132500,137000,139000,139000,212000,168500,200000,207500,218750,222500
24974,E08000025,Birmingham,E01009057,Birmingham 035D,137500,137500,107500,110000,115000,115000,123500,122000,140000,165000
24975,E08000025,Birmingham,E01009058,Birmingham 033D,96500,96500,96500,135000,140000,131500,131500,133750,122000,136000
24976,E08000025,Birmingham,E01009059,Birmingham 035E,:,:,:,:,:,:,:,:,134000,125000
24977,E08000025,Birmingham,E01009060,Birmingham 035F,:,:,:,:,:,:,:,122000,141000,122000
24978,E08000025,Birmingham,E01009061,Birmingham 033E,120000,130000,130000,130000,:,:,:,:,:,153500
